Temperature - (Celsius), Year, Statistics, Country, ISO3
28.2, 2014, Jan Average, Ghana, GHA
29.5, 2014, Feb Average, Ghana, GHA
29.9, 2014, Mar Average, Ghana, GHA
29.5, 2014, Apr Average, Ghana, GHA
28.5, 2014, May Average, Ghana, GHA
27.5, 2014, Jun Average, Ghana, GHA
26.6, 2014, Jul Average, Ghana, GHA
25.9, 2014, Aug Average, Ghana, GHA
26.1, 2014, Sep Average, Ghana, GHA
27.4, 2014, Oct Average, Ghana, GHA
28.0, 2014, Nov Average, Ghana, GHA
27.1, 2014, Dec Average, Ghana, GHA
26.8, 2015, Jan Average, Ghana, GHA
30.0, 2015, Feb Average, Ghana, GHA
30.1, 2015, Mar Average, Ghana, GHA
30.1, 2015, Apr Average, Ghana, GHA
29.5, 2015, May Average, Ghana, GHA
27.7, 2015, Jun Average, Ghana, GHA
26.6, 2015, Jul Average, Ghana, GHA
26.1, 2015, Aug Average, Ghana, GHA
26.6, 2015, Sep Average, Ghana, GHA
27.6, 2015, Oct Average, Ghana, GHA
28.1, 2015, Nov Average, Ghana, GHA
26.5, 2015, Dec Average, Ghana, GHA
27.8, 2016, Jan Average, Ghana, GHA
30.1, 2016, Feb Average, Ghana, GHA
30.6, 2016, Mar Average, Ghana, GHA
30.4, 2016, Apr Average, Ghana, GHA
29.1, 2016, May Average, Ghana, GHA
27.3, 2016, Jun Average, Ghana, GHA
26.4, 2016, Jul Average, Ghana, GHA
26.2, 2016, Aug Average, Ghana, GHA
26.5, 2016, Sep Average, Ghana, GHA
27.8, 2016, Oct Average, Ghana, GHA
28.5, 2016, Nov Average, Ghana, GHA
28.0, 2016, Dec Average, Ghana, GHA
27.8, 2017, Jan Average, Ghana, GHA
30.0, 2017, Feb Average, Ghana, GHA
30.7, 2017, Mar Average, Ghana, GHA
30.1, 2017, Apr Average, Ghana, GHA
28.8, 2017, May Average, Ghana, GHA
27.1, 2017, Jun Average, Ghana, GHA
26.5, 2017, Jul Average, Ghana, GHA
25.9, 2017, Aug Average, Ghana, GHA
26.6, 2017, Sep Average, Ghana, GHA
27.9, 2017, Oct Average, Ghana, GHA
28.1, 2017, Nov Average, Ghana, GHA
27.4, 2017, Dec Average, Ghana, GHA
27.4, 2018, Jan Average, Ghana, GHA
30.4, 2018, Feb Average, Ghana, GHA
29.8, 2018, Mar Average, Ghana, GHA
29.9, 2018, Apr Average, Ghana, GHA
29.0, 2018, May Average, Ghana, GHA
27.4, 2018, Jun Average, Ghana, GHA
26.4, 2018, Jul Average, Ghana, GHA
26.1, 2018, Aug Average, Ghana, GHA
26.6, 2018, Sep Average, Ghana, GHA
27.5, 2018, Oct Average, Ghana, GHA
28.2, 2018, Nov Average, Ghana, GHA
27.1, 2018, Dec Average, Ghana, GHA
28.4, 2019, Jan Average, Ghana, GHA
29.1, 2019, Feb Average, Ghana, GHA
30.4, 2019, Mar Average, Ghana, GHA
29.1, 2019, Apr Average, Ghana, GHA
28.1, 2019, May Average, Ghana, GHA
26.6, 2019, Jun Average, Ghana, GHA
26.5, 2019, Jul Average, Ghana, GHA
26.3, 2019, Aug Average, Ghana, GHA
26.8, 2019, Sep Average, Ghana, GHA
26.6, 2019, Oct Average, Ghana, GHA
28.4, 2019, Nov Average, Ghana, GHA
27.5, 2019, Dec Average, Ghana, GHA
27.8, 2020, Jan Average, Ghana, GHA
30.0, 2020, Feb Average, Ghana, GHA
30.9, 2020, Mar Average, Ghana, GHA
30.4, 2020, Apr Average, Ghana, GHA
29.3, 2020, May Average, Ghana, GHA
27.6, 2020, Jun Average, Ghana, GHA
26.4, 2020, Jul Average, Ghana, GHA
25.7, 2020, Aug Average, Ghana, GHA
26.2, 2020, Sep Average, Ghana, GHA
27.0, 2020, Oct Average, Ghana, GHA
28.0, 2020, Nov Average, Ghana, GHA
28.1, 2020, Dec Average, Ghana, GHA
